Date,Name,Product,Category,Region,Quantity Sold,Revenue,Discount (%),Payment Method,Customer Feedback,Order Status
04-11-2025,Alice,Smartwatch,Peripherals,West,1,247,16,Online,Good,Returned
24-01-2025,Diana,Smartphone,Gadgets,East,50,3165,23,Cash,Excellent,Cancelled
08-05-2025,Bob,Smartphone,Peripherals,South,42,1656,18,Debit Card,Average,Cancelled
05-04-2025,Edward,Headphones,Gadgets,North,12,4556,28,Debit Card,Good,Cancelled
04-12-2025,Julia,Keyboard,Gadgets,North,36,2533,30,Debit Card,Average,Returned
24-11-2025,Julia,Keyboard,Accessories,North,19,4162,23,Online,Poor,Pending
03-09-2025,Ian,Tablet,Gadgets,South,4,4823,2,Online,Excellent,Returned
14-10-2025,Charlie,Smartwatch,Accessories,East,24,1353,4,Credit Card,Average,Cancelled
01-01-2025,Fiona,Camera,Peripherals,North,10,3785,5,Credit Card,Good,Delivered
07-02-2025,Alice,Keyboard,Gadgets,East,5,4966,28,Debit Card,Average,Pending
17-04-2025,Ian,Headphones,Accessories,North,33,3127,23,Debit Card,Good,Returned
01-10-2025,Alice,Mouse,Electronics,East,23,635,18,Credit Card,Excellent,Cancelled
07-09-2025,Alice,Smartphone,Gadgets,North,4,1839,9,Credit Card,Poor,Returned
21-12-2025,Edward,Laptop,Electronics,West,21,1608,6,Online,Poor,Returned
18-12-2025,George,Smartwatch,Peripherals,West,25,2393,19,Debit Card,Good,Pending
08-07-2025,Diana,Keyboard,Gadgets,North,4,3345,14,Credit Card,Excellent,Cancelled
19-08-2025,Fiona,Monitor,Electronics,North,36,2764,3,Cash,Poor,Returned
26-05-2025,Ian,Monitor,Gadgets,East,13,722,23,Credit Card,Excellent,Cancelled
25-01-2025,Alice,Laptop,Accessories,East,48,4574,10,Debit Card,Poor,Delivered
23-03-2025,George,Speaker,Peripherals,West,7,1647,1,Cash,Good,Cancelled
11-07-2025,Ian,Monitor,Gadgets,East,37,3128,3,Cash,Average,Returned
05-05-2025,Ian,Speaker,Electronics,East,7,4967,1,Credit Card,Average,Cancelled
25-04-2025,Charlie,Mouse,Gadgets,East,10,914,4,Debit Card,Poor,Pending
04-06-2025,Ian,Tablet,Electronics,North,42,2189,26,Credit Card,Average,Delivered
13-02-2025,Fiona,Tablet,Accessories,North,27,3661,28,Online,Good,Returned
12-02-2025,Alice,Tablet,Accessories,North,4,1028,21,Debit Card,Poor,Pending
20-06-2025,Diana,Smartphone,Peripherals,North,17,1470,7,Cash,Average,Cancelled
26-05-2025,Bob,Mouse,Accessories,East,45,465,18,Debit Card,Excellent,Returned
24-01-2025,Hannah,Mouse,Peripherals,North,47,1036,9,Online,Good,Pending
18-08-2025,Charlie,Keyboard,Peripherals,North,35,2273,3,Cash,Average,Delivered
13-02-2025,Diana,Speaker,Peripherals,East,23,432,9,Online,Good,Delivered
18-02-2025,Fiona,Camera,Peripherals,West,48,3814,21,Online,Excellent,Pending
27-05-2025,Bob,Headphones,Peripherals,East,34,4930,4,Credit Card,Good,Cancelled
20-11-2025,Diana,Camera,Electronics,East,37,4248,21,Online,Good,Pending
19-06-2025,Hannah,Mouse,Peripherals,East,27,1949,22,Credit Card,Average,Pending
23-04-2025,Diana,Laptop,Electronics,West,21,2349,18,Debit Card,Poor,Delivered
02-02-2025,Julia,Smartphone,Gadgets,West,17,249,1,Cash,Good,Pending
08-11-2025,Julia,Camera,Gadgets,South,40,145,1,Cash,Poor,Pending
03-05-2025,Alice,Monitor,Peripherals,East,36,3784,28,Online,Good,Delivered
28-04-2025,Alice,Keyboard,Electronics,West,5,3743,18,Debit Card,Poor,Delivered
13-02-2025,George,Smartwatch,Peripherals,East,36,718,9,Credit Card,Excellent,Returned
15-05-2025,Diana,Speaker,Gadgets,South,18,3550,1,Cash,Excellent,Delivered
27-11-2025,Bob,Smartwatch,Electronics,East,18,590,3,Cash,Good,Returned
06-06-2025,Edward,Laptop,Gadgets,West,1,919,14,Cash,Average,Returned
12-06-2025,Alice,Keyboard,Gadgets,North,39,355,26,Debit Card,Poor,Pending
22-04-2025,Diana,Camera,Peripherals,East,16,4700,15,Online,Excellent,Returned
23-05-2025,Fiona,Keyboard,Electronics,South,35,1905,26,Cash,Excellent,Cancelled
21-11-2025,Charlie,Camera,Gadgets,East,28,999,23,Debit Card,Excellent,Delivered
20-02-2025,George,Keyboard,Gadgets,West,23,3715,8,Credit Card,Excellent,Returned
06-11-2025,Diana,Keyboard,Electronics,West,20,2079,19,Online,Good,Cancelled
24-09-2025,Fiona,Tablet,Electronics,South,30,2631,20,Credit Card,Good,Delivered
06-04-2025,George,Keyboard,Accessories,East,5,4727,29,Cash,Good,Pending
13-08-2025,Alice,Smartphone,Gadgets,West,40,3625,3,Online,Good,Returned
21-05-2025,Charlie,Camera,Peripherals,West,50,1762,18,Cash,Excellent,Cancelled
18-12-2025,Charlie,Speaker,Accessories,North,12,1534,5,Cash,Excellent,Delivered
22-04-2025,Julia,Monitor,Gadgets,North,32,880,29,Credit Card,Good,Returned
27-06-2025,Diana,Smartphone,Electronics,South,42,3115,16,Credit Card,Poor,Returned
08-01-2025,Julia,Speaker,Gadgets,North,4,3044,6,Cash,Poor,Pending
26-01-2025,Edward,Smartphone,Peripherals,West,44,1914,4,Cash,Average,Pending
13-06-2025,George,Laptop,Gadgets,East,24,2074,9,Cash,Average,Cancelled
03-05-2025,Julia,Keyboard,Gadgets,North,17,3902,18,Credit Card,Average,Returned
19-04-2025,Edward,Smartwatch,Gadgets,North,33,2725,11,Online,Good,Pending
11-12-2025,Diana,Speaker,Electronics,North,30,1755,26,Cash,Poor,Pending
21-04-2025,Edward,Monitor,Peripherals,South,20,933,3,Cash,Poor,Delivered
13-08-2025,George,Smartphone,Accessories,North,34,4149,3,Online,Poor,Pending
15-11-2025,Alice,Mouse,Accessories,West,31,2781,0,Debit Card,Poor,Delivered
09-03-2025,George,Smartphone,Gadgets,East,3,1175,18,Debit Card,Good,Delivered
08-03-2025,George,Camera,Gadgets,South,22,4575,22,Cash,Average,Returned
18-12-2025,George,Smartwatch,Accessories,East,26,3177,13,Credit Card,Good,Pending
09-09-2025,Edward,Tablet,Gadgets,North,25,919,28,Online,Good,Returned
19-12-2025,Diana,Camera,Accessories,North,10,1614,22,Online,Good,Cancelled
19-07-2025,Hannah,Camera,Peripherals,East,15,1398,26,Online,Poor,Pending
12-07-2025,Edward,Headphones,Electronics,East,2,2192,22,Credit Card,Poor,Returned
05-04-2025,Julia,Mouse,Electronics,North,47,288,14,Credit Card,Poor,Pending
16-09-2025,Alice,Speaker,Electronics,East,4,485,0,Online,Good,Cancelled
25-02-2025,George,Smartphone,Electronics,South,24,369,21,Credit Card,Poor,Delivered
28-01-2025,Alice,Keyboard,Electronics,North,26,1203,25,Credit Card,Good,Returned
05-02-2025,Hannah,Smartphone,Gadgets,East,1,2662,5,Online,Excellent,Delivered
06-11-2025,Charlie,Smartphone,Electronics,North,38,4801,28,Cash,Good,Returned
14-11-2025,Diana,Smartphone,Gadgets,West,42,1716,9,Credit Card,Excellent,Cancelled
03-10-2025,Bob,Camera,Peripherals,North,20,4146,19,Credit Card,Poor,Returned
13-07-2025,Bob,Laptop,Peripherals,West,18,2837,2,Online,Poor,Returned
15-10-2025,Bob,Headphones,Gadgets,East,41,4521,2,Credit Card,Poor,Delivered
09-09-2025,Charlie,Keyboard,Accessories,North,26,785,24,Credit Card,Excellent,Returned
28-09-2025,Hannah,Smartphone,Accessories,West,7,4466,13,Debit Card,Good,Cancelled
22-01-2025,Bob,Camera,Electronics,East,24,1967,18,Credit Card,Good,Pending
04-12-2025,Charlie,Speaker,Accessories,West,1,2915,27,Debit Card,Poor,Cancelled
18-11-2025,Ian,Smartphone,Gadgets,West,7,413,19,Credit Card,Poor,Cancelled
25-05-2025,Fiona,Smartwatch,Peripherals,West,9,469,7,Cash,Average,Pending
11-11-2025,Charlie,Monitor,Electronics,South,50,1615,25,Cash,Good,Cancelled
10-02-2025,Edward,Smartphone,Accessories,North,44,1290,9,Online,Good,Returned
